"Policy Effective Date","Submission Name","Submission Type","Production Office","Placing Broker","Line of Business","Client Name","Industry","Employees","Annual Revenue Currency","Annual Revenue","Stage","Lost/NTU Reason","Declined Reason","Production Region","Profit Center","100 Percent Policy Booked Premium Currency","100 Percent Policy Booked Premium","Assigned Underwriter","Effective Month","Last Modified Alias"
"4/1/2017","SD-PRO-ATL-17-1050716","New","Miami","All-South Professional Liability Inc","Deductible","GFA International, Inc. and American Vibracore Services, Inc.","Engineering","70","USD","14628723.00","Declined","","Reservation Conflict","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Apr","sbatc"
"4/1/2017","SD-PRO-ATL-17-1063179","New","Atlanta","CRC Insurance Services, Inc.","Cyber Liability","Rector Phillips Morse, Inc","Other","110","USD","9757322.00","Declined","","Reservation Conflict","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Apr","sbatc"
"2/15/2017","SD-PRX-ATL-17-1038753","New","Atlanta","CRC Insurance Services Inc","Miscellaneous","Daymon Worldwide, Inc.","Consulting","6105","USD","488016506.00","Declined","","Incomplete Submission","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/27/2017","SD-PRX-ATL-17-1052305","New","Nashville","CRC Insurance Services Inc","Cyber Liability","Hobietech, LLC","Technology","4","USD","163311.00","Declined","","Below Minimum Premium","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/1/2017","SD-PRX-ATL-16-1012926","New","Miami","All-South Professional Liability Inc","Lawyers","Genovese, Joblove & Battista, P.A.","Other","50","USD","9369475.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/1/2017","SD-PRO-ATL-16-1026857","New","Atlanta","CAPITOL SPECIAL RISKS INC","Miscellaneous","RMC II","Other","6","USD","2250000.00","Declined","","Loss History","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/1/2017","SD-PRO-ATL-16-1027302","New","Atlanta","CAPITOL SPECIAL RISKS INC","Miscellaneous","Wakefield & Associates, Inc.","Consulting","2","USD","326180.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/1/2017","SD-PRO-ATL-16-1028507","New","Atlanta","CAPITOL SPECIAL RISKS INC","Miscellaneous","Express Recovery Services, Inc.","Finance","11","USD","1680933.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/1/2017","SD-PRO-ATL-17-1040988","New","Atlanta","CAPITOL SPECIAL RISKS INC","Miscellaneous","Collection Management Company","Consulting","11","USD","1201889.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/24/2017","SD-PRO-ATL-16-1036836","New","Atlanta","CAPITOL SPECIAL RISKS INC","Deductible","RTR Financial Services, Inc.","Other","2","USD","318999.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/5/2017","SD-PRO-ATL-17-1054809","New","Miami","Peachtree Special Risk","Deductible","Partners in Design Architects, Inc.","Engineering","22","USD","2827395.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/28/2017","SD-PRO-ATL-17-1039624","New","Miami","Socius Insurance Services, Inc.","Deductible","Underwater Engineering Services, Inc","Engineering","70","USD","11730451.00","Declined","","Other Underwriting Guidelines","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/7/2017","SD-PRO-ATL-16-1028409","New","Miami","CRC Insurance Services Inc","Deductible","SMP Architecture, P. A.","Engineering","2","USD","260299.00","Declined","","Other Underwriting Guidelines","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/1/2017","SD-PRO-ATL-17-1038714","New","Atlanta","Socius Insurance Services, Inc.","Miscellaneous","Trans Con Assurance, LTD.","Insurance","3","USD","453238.00","Declined","","Nature of Insured's Business","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/1/2017","SD-PRO-ATL-17-1043010","New","Atlanta","AmWINS Brokerage of Florida - Jacksonville","Deductible","Magellan Surveying & Mapping, Inc","Engineering","7","USD","646472.00","Declined","","Deductible Level","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/4/2017","SD-PRO-ATL-16-1023904","New","Atlanta","AmWINS Brokerage of Florida - Jacksonville","Deductible","Dunn Engineers, Inc.","Engineering","23","USD","1578116.00","Declined","","Incomplete Submission","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","aaman"
"2/19/2017","SD-PRO-ATL-17-1047572","New","Miami","AmWINS Brokerage of Florida - West Palm Beach","Deductible","ECHO UES, Inc.","","0","USD","","Declined","","Financial","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","sola4"
"2/1/2017","SD-PRO-ATL-17-1052294","New","Atlanta","CAPITOL SPECIAL RISKS INC","Miscellaneous","Claims Resource Services","Finance","45","USD","4106928.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Feb","SParikh"
"1/1/2017","SD-PRO-ATL-16-677899","New","Atlanta","CRC Insurance Services Inc","Miscellaneous","Employer's Claim Management Inc","Insurance","55","USD","14579098.00","Lost/NTU","Attachment Point","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/21/2017","SD-PRO-ATL-16-1034899","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","Shane Bauer","","0","USD","","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-1034902","New","Atlanta","CRC Insurance Services Inc","Miscellaneous","Reliant Court Services, LLC","Other","2","USD","126630.00","Lost/NTU","Insured Did Not Purchase/Renew","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/6/2017","SD-PRO-ATL-16-1025252","New","Nashville","CRC Insurance Services Inc","Miscellaneous","Wendy Giordano and 4 Trustees","","0","USD","","Lost/NTU","Insured Did Not Purchase/Renew","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/15/2017","SD-PRO-ATL-16-1034916","New","Nashville","CRC Insurance Services Inc","Cyber Liability","Dearwester Grain Services, Inc","Retail","9","USD","5437941.00","Lost/NTU","Agent Lost Account","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/16/2017","SD-PRO-ATL-16-1037216","New","Nashville","CRC Insurance Services Inc","Miscellaneous","Michael W Rupprecht and James W Silva, Co-Trustees","Other","2","USD","120000.00","Lost/NTU","Agent Lost Account","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/9/2017","SD-PRO-ATL-16-1026142","New","Miami","All-South Professional Liability Inc","Deductible","The JDI Group Inc.","Engineering","78","USD","15089768.00","Declined","","Other Underwriting Guidelines","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/26/2017","SD-PRO-ATL-17-1043083","New","Atlanta","CRC Insurance Services, Inc.","Deductible","Jade Consulting, LLC","Engineering","4","USD","700000.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/5/2017","SD-PRO-ATL-16-1024739","New","Miami","HULL & COMPANY","Cyber Liability","Waleteros Fintech LLC","Banking","3","USD","335468.00","Declined","","Nature of Insured's Business","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-676988","New","Atlanta","Synapse Services LLC","Deductible","Russo Corporation","Construction","250","USD","60000000.00","Declined","","Other Underwriting Guidelines","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/6/2017","SD-PRO-ATL-16-1026129","New","Atlanta","CAPITOL SPECIAL RISKS INC","Miscellaneous","Kauai All Islands Real Estate Services, LLC","Other","12","USD","858473.00","Declined","","Loss History","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-1026185","New","Miami","Peachtree Special Risk","Deductible","King Engineering Associates, Inc.","Engineering","137","USD","36381543.00","Declined","","Other Underwriting Guidelines","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-1029018","New","Miami","Peachtree Special Risk","Deductible","IBC Engineering, P.C.","Engineering","48","USD","5227556.00","Declined","","No Interest","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/12/2017","SD-PRO-ATL-16-1031029","New","Miami","Peachtree Special Risk","Deductible","EMI Architects","Engineering","13","USD","4500000.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/23/2017","SD-PRO-ATL-16-956789","New","Atlanta","Peachtree Special Risk","Deductible","Thomas M. Kirchhoff, AIA, P.A.","Engineering","7","USD","1258239.00","Declined","","No Interest","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/24/2017","SD-PRO-ATL-17-1042395","New","Atlanta","ARC South, LLC","Miscellaneous","ValueScope, Inc.","Consulting","0","USD","0.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-674059","Renewal","Miami","CRC Insurance Services, Inc.","Deductible","American Wave Machines Inc.","Manufacturing","6","USD","1354231.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-954616","New","Atlanta","CRC Insurance Services, Inc.","Deductible","Environmental Consulting & Technology, Inc.","Consulting","190","USD","31598719.00","Declined","","Other Underwriting Guidelines","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/27/2017","SD-PRO-ATL-16-1028411","New","Miami","CRC Insurance Services, Inc.","Deductible","MiGre Engineers, LLC","Engineering","8","USD","192533.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/18/2017","SD-PRX-ATL-16-1034767","Renewal","Atlanta","CRC Insurance Services Inc","Lawyers","The Law Offices of Ogle & Elrod & Baril, PLLC","Other","3","USD","277038.00","Declined","","Other Underwriting Guidelines","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-1025258","New","Miami","American Professional Liability Underwriters, Inc.","Deductible","Glidden Spina & Partners Architecture-Interior Design, Inc.","Engineering","9","USD","2040305.00","Declined","","Loss History","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/6/2017","SD-PRO-ATL-16-1024794","New","Miami","American Professional Liability Underwriters, Inc.","Deductible","Steven Feller Inc","Engineering","67","USD","10197165.00","Declined","","Incomplete Submission","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/24/2017","SD-PRO-ATL-16-1025261","New","Miami","American Professional Liability Underwriters, Inc.","Deductible","Hunton Brady Architects Inc","Engineering","85","USD","12430490.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/30/2017","SD-PRO-ATL-17-1049224","New","Miami","American Professional Liability Underwriters, Inc.","Deductible","Behar Font & Partners, P.A.","Chemicals","1","USD","130000.00","Declined","","Incomplete Submission","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-1012915","New","Atlanta","Ajax Specialty Insurance","Miscellaneous","Speedling Incorporated","Agriculture","250","USD","87998049.00","Lost/NTU","Account /Program?Primary","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-1013209","New","Miami","AmWINS Brokerage of Florida - Jacksonville","Miscellaneous","O R Colan Associates LLC","Consulting","115","USD","16034959.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/27/2017","SD-PRO-ATL-16-1031071","New","Atlanta","AmWINS Brokerage of Florida - Jacksonville","Deductible","HARPER ENGINEERING, PLLC","Engineering","3","USD","264417.00","Declined","","Other Underwriting Guidelines","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-1032702","New","Nashville","RLA INS INTERMEDIARIES LLC","Miscellaneous","Frost Arnett Co Inc.","Finance","160","USD","14779436.00","Declined","","Incomplete Submission","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-1032731","New","Nashville","RLA INS INTERMEDIARIES LLC","Deductible","L&S Electric, Inc","Other","350","USD","80096629.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","aaman"
"1/1/2017","SD-PRO-ATL-16-1012872","New","Nashville","AmWINS Brokerage of Tennessee","Deductible","Bounds & Gillespie Architects, PLLC","Engineering","15","USD","2058618.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","ra"
"1/30/2017","SD-PRX-ATL-16-952186","New","Miami","Socius Insurance Services, Inc.","Cyber Liability","KOBIE MARKETING, INC","Communications","112","USD","20153298.00","Lost/NTU","Auto Close","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","SF2.0"
"1/9/2017","SD-PRO-ATL-16-1035387","New","Miami","American Professional Liability Underwriters, Inc.","Deductible","Miami Curtain Wall Consultants","Construction","15","USD","2679443.00","Lost/NTU","Limits/Deductible","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Jan","TDourgar"
"3/16/2017","SD-PRO-ATL-17-1046607","New","Atlanta","Ajax Specialty Insurance","Deductible","OBM International, Inc.","Engineering","20","USD","2048350.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Mar","aaman"
"3/26/2017","SD-PRO-ATL-17-1049290","New","Miami","SCU","Deductible","YPC CONSULTING GROUP,PL","Consulting","7","USD","192533.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Mar","aaman"
"3/4/2017","SD-PRO-ATL-17-1047474","New","Atlanta","CRC Insurance Services Inc","Miscellaneous","Great American Title Agency","Other","96","USD","33531148.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Mar","aaman"
"3/17/2017","SD-PRO-ATL-17-1059062","New","Miami","Peachtree Special Risk","Deductible","Madrid Engineering Group, Inc. (MEG)","Engineering","35","USD","5997747.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Mar","aaman"
"3/19/2017","SD-PRO-ATL-17-1057923","New","Miami","Peachtree Special Risk","Deductible","Latimer Sommers & Associates","Engineering","25","USD","1500000.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Mar","aaman"
"3/21/2017","SD-PRO-ATL-17-1063399","New","Miami","Peachtree Special Risk","Deductible","Granum A/I, LLC","Engineering","5","USD","710116.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Mar","aaman"
"3/13/2017","SD-PRO-ATL-17-1039425","New","Miami","Socius Insurance Services, Inc.","Deductible","Keith and Associates, Inc","Engineering","32","USD","4924502.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Mar","aaman"
"3/4/2017","SD-PRO-ATL-17-1062255","New","Miami","Socius Insurance Services, Inc.","Miscellaneous","Regency Insurance Brokerage Services Inc","Insurance","35","USD","7290043.00","Declined","","Reservation Conflict","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Mar","sbatc"
"3/1/2018","SD-PRO-ATL-17-1057849","Renewal","Miami","Socius Insurance Services, Inc.","Deductible","CDR Enterprises, Inc.","Other","2","USD","33851.00","Void","","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Mar","sbatc"
"5/5/2017","SD-PRO-ATL-16-654271","Renewal","Atlanta","CRC Insurance Services Inc","Miscellaneous","Tropical Smoothie Cafe, LLC","Retail","10","USD","1220839.00","Void","","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","May","aango"
"5/1/2017","SD-PRO-ATL-17-1063289","New","Atlanta","CRC Insurance Services Inc","Miscellaneous","Credit Plus, Inc.","Finance","1","USD","336276.00","Declined","","Reservation Conflict","North America","Professional Liability - 20260","USD","0.00","Amber Amann","May","sbatc"
"8/27/2018","SD-PRX-LA-18-1581021","New","Atlanta","Founders Professional LLC","Lawyers","Law offices of Dan Newlin & Partners","Other","140","USD","100000000.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","0.00","Anahit Gharibian","Aug","sbatc"
"2/28/2017","SD-PRX-LA-16-1021866","Renewal","Los Angeles","CRC Insurance Services Inc","Cyber Blend","TuneCore, Inc.","Electronics","50","USD","1622867.00","Bound","","","North America","Professional Liability - 20260","USD","135500.00","Anahit Gharibian","Feb","asale"
"3/21/2019","SD-PRO-LA-19-1747092","New","Atlanta","Socius Insurance Services, Inc.","Miscellaneous","CSRA Probation Services, Inc.","Other","12","USD","1498871.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","Anahit Gharibian","Mar","sbatc"
"9/7/2018","SD-PRO-ATL-18-1541378","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Cyber Liability","J.D. Power & Associates","Consulting","0","USD","0.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","Anahit Gharibian","Sep","sbatc"
"12/31/2017","SD-PRO-BOS-17-1361142","New","Boston","RLA INS INTERMEDIARIES LLC","Cyber Blend","Boston Globe Media Partners, LLC (BGMP)","Manufacturing","1","USD","65000.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","0.00","Benjamin Goldfien","Dec","sbatc"
"1/1/2018","SD-PRX-BOS-17-1300104","Renewal","Boston","Willis of Tennessee, Inc.","Cyber Liability","Humana Inc.","Insurance","41600","USD","56912000000.00","Cancelled","","","North America","Professional Liability - 20260","USD","0.00","Benjamin Goldfien","Jan","sbatc"
"10/1/2017","SD-PRO-BOS-17-1270778","New","Nashville","RLA INS INTERMEDIARIES LLC","Cyber Liability","Delta Dental of Iowa","Insurance","120","USD","127199660.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Benjamin Goldfien","Oct","sbatc"
"7/5/2017","SD-FNL-ATL-17-1175029","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Private/NFP","The Crypto Company, Inc.","Consulting","7","USD","660568.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Carl Holbig","Jul","ccire"
"6/1/2017","SD-FNL-DEN-17-1127490","New","Nashville","Worldwide Facilities, LLC","Private/NFP","Dallas Museum of Art","Recreation","275","USD","52375646.00","Declined","","Deductible Level","North America","Financial Lines - 20150","USD","0.00","Carl Holbig","Jun","sbaie"
"4/1/2019","SD-XFL-ATL-19-1731068","New","Atlanta","McGriff, Seibels & Williams, Inc.","Commercial","STRYKER CORPORATION","Manufacturing","36000","USD","13601000000.00","Bound","","","North America","Financial Lines - 20150","USD","60000.00","Chris Cirelli","Apr","aerei"
"4/1/2018","SD-XFL-ATL-18-1374175","Renewal","Charlotte","USI Insurance Services LLC","Commercial","Roper Industries, Inc.","Machinery","15611","USD","5191200000.00","Bound","","","North America","Financial Lines - 20150","USD","64500.00","Chris Cirelli","Apr","aerei"
"4/1/2017","SD-XFL-ATL-17-1038294","Renewal","Charlotte","USI Insurance Services National, Inc","Commercial","Roper Industries, Inc.","Machinery","15611","USD","5191200000.00","Bound","","","North America","Financial Lines - 20150","USD","64500.00","Chris Cirelli","Apr","aerei"
"4/8/2017","SD-FNL-ATL-17-1112104","Renewal","Atlanta","CRC Insurance Services, Inc.","Private/NFP","ORION SOUTH INC","Retail","274","USD","66146419.00","Bound","","","North America","Financial Lines - 20150","USD","36528.00","Chris Cirelli","Apr","amagn"
"4/1/2017","SD-XFL-ATL-17-1038299","Renewal","Charlotte","Aon Risk Services South, Inc.","Financial Institutions","United Community Banks, Inc.","Banking","2312","USD","531711000.00","Bound","","","North America","Financial Lines - 20150","USD","55000.00","Chris Cirelli","Apr","asale"
"4/19/2018","SD-XFL-ATL-17-1297762","New","Atlanta","ARC South, LLC","Private/NFP","DAV Acquisition Corp.","","0","USD","","Bound","","","North America","Financial Lines - 20150","USD","8656.00","Chris Cirelli","Apr","asale"
"4/30/2019","SD-FNL-ATL-19-1814827","New","Atlanta","McGriff, Seibels & Williams, Inc.","Private/NFP","New York Independent System Operator, Inc.","Utilities","500","USD","169794521.00","Declined","","Client/Broker Politics","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/30/2017","SD-XFL-ATL-17-1124716","New","Charlotte","Aon Risk Services South, Inc.","Financial Institutions","Regional Management Corporation","Other","1448","USD","248551000.00","Lost/NTU","Limits/Deductible","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/21/2017","SD-FNL-ATL-17-1061336","Renewal","Atlanta","Beecher Carlson Insurance Services LLC","Commercial","Ignite Restaurant Group, Inc","Retail","8800","USD","450279000.00","Pending","","","North America","Financial Lines - 20150","USD","142500.00","Chris Cirelli","Apr","ccire"
"4/28/2017","SD-FNL-ATL-17-1061337","Renewal","Atlanta","Beecher Carlson Insurance Services LLC","Commercial","Ignite Restaurant Group, Inc","Retail","8800","USD","450279000.00","Pending","","","North America","Financial Lines - 20150","USD","536250.00","Chris Cirelli","Apr","ccire"
"4/28/2017","SD-FNL-ATL-17-1063175","New","Atlanta","Aon Risk Services South, Inc.","Private/NFP","Floor & Décor Outlets of America, Inc.","Retail","500","USD","920000000.00","Lost/NTU","Price","","North America","Financial Lines - 20150","USD","32286.00","Chris Cirelli","Apr","ccire"
"4/28/2017","SD-XFL-ATL-17-1119213","New","Atlanta","Aon Risk Services South, Inc.","Private/NFP","Floor & Décor Outlets of America, Inc.","Retail","500","USD","920000000.00","Lost/NTU","Price","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/15/2019","SD-FNL-ATL-19-1759016","New","Atlanta","Aon Risk Services South, Inc.","Financial Institutions","Chatham Lodging Trust","Finance","40","USD","324230000.00","Declined","","Below Minimum Premium","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/23/2017","SD-FNL-ATL-17-1068962","New","Atlanta","Risk Placement Services, Inc.","Financial Institutions","BitPay, Inc.","Other","6","USD","7000000.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/27/2019","SD-FNL-ATL-19-1793517","New","Atlanta","Risk Placement Services, Inc.","Private/NFP","The Whitewind Company","Transportation","25","USD","5445221.00","Declined","","Insufficient Information","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/23/2017","SD-FNL-ATL-17-1132065","New","Atlanta","CRC Insurance Services, Inc.","Private/NFP","GEO SPECIALTY CHEMICALS INC.","Chemicals","290","USD","147652673.00","Declined","","Financial","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/1/2019","SD-FNL-ATL-19-1747010","New","Atlanta","Willis Insurance Services of Georgia, Inc.","Commercial","Healthstream Inc.","Technology","790","USD","231616000.00","Declined","","Financial","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/1/2017","SD-FNL-ATL-17-1099662","New","Miami","Socius Insurance Services, Inc.","Private/NFP","Forward Gro, LLC","Agriculture","11","USD","6765730.00","Declined","","Time Limitations","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/24/2017","SD-FNL-ATL-17-1091534","New","Atlanta","All Risk, LTD","Private/NFP","White-Wilson Medical Center, P.A.","Healthcare","400","USD","56111002.00","Declined","","Deductible Level","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Apr","ccire"
"4/30/2017","SD-FNL-ATL-17-1125660","New","Atlanta","USI Insurance Services LLC","Private/NFP","Hillsboro Club, Inc.","Hospitality","90","USD","9718130.00","Lost/NTU","Limits/Deductible","","North America","Financial Lines - 20150","USD","33219.00","Chris Cirelli","Apr","ccire"
"4/10/2017","SD-FNL-ATL-17-1050221","Renewal","Nashville","CRC Insurance Services Inc","Private/NFP","Property Owners assoc of Terlingua Ranch, Inc.","Hospitality","2","USD","88000.00","Bound","","","North America","Financial Lines - 20150","USD","10000.00","Chris Cirelli","Apr","ddina"
"4/1/2017","SD-FNL-ATL-17-1038123","Renewal","Atlanta","Edgewood Partners Insurance Center (EPIC)","Private/NFP","APHC, INC. / KIMLEY-HORN AND ASSOCIATES, INC.","Finance","0","USD","0.00","Bound","","","North America","Financial Lines - 20150","USD","45010.00","Chris Cirelli","Apr","eapa"
